;Prompt;Befundname;Anzahl Bsp;Str WH 1;Korr WH 1;Str WH 2;Korr WH 2;Str WH 3;Korr WH 3;Avg. Struktur;Avg. Korrektheit
0;1;6;1;90,0;50,0;100,0;70,0;90,0;60,0;93,33333333333333;60,0
1;1;6;3;90,0;60,0;90,0;60,0;90,0;50,0;90,0;56,666666666666664
2;1;6;5;100,0;60,0;100,0;80,0;100,0;70,0;100,0;70,0
3;2;6;1;90,0;80,0;100,0;60,0;100,0;90,0;96,66666666666667;76,66666666666667
4;2;6;3;100,0;70,0;100,0;80,0;100,0;80,0;100,0;76,66666666666667
5;2;6;5;100,0;80,0;100,0;60,0;100,0;70,0;100,0;70,0
6;3;6;1;90,0;80,0;100,0;60,0;100,0;70,0;96,66666666666667;70,0
7;3;6;3;100,0;80,0;100,0;80,0;100,0;70,0;100,0;76,66666666666667
8;3;6;5;100,0;60,0;100,0;80,0;100,0;80,0;100,0;73,33333333333333
9;4;6;1;70,0;80,0;90,0;80,0;100,0;80,0;86,66666666666667;80,0
10;4;6;3;100,0;90,0;100,0;70,0;100,0;20,0;100,0;60,0
11;4;6;5;100,0;70,0;100,0;80,0;100,0;60,0;100,0;70,0
12;1;7;1;100,0;80,0;90,0;80,0;60,0;40,0;83,33333333333333;66,66666666666667
13;1;7;3;100,0;70,0;100,0;80,0;100,0;80,0;100,0;76,66666666666667
14;1;7;5;100,0;70,0;100,0;80,0;90,0;70,0;96,66666666666667;73,33333333333333
15;2;7;1;90,0;80,0;100,0;80,0;100,0;70,0;96,66666666666667;76,66666666666667
16;2;7;3;80,0;80,0;100,0;80,0;100,0;80,0;93,33333333333333;80,0
17;2;7;5;100,0;20,0;100,0;90,0;100,0;70,0;100,0;60,0
18;3;7;1;100,0;90,0;100,0;90,0;100,0;70,0;100,0;83,33333333333333
19;3;7;3;100,0;80,0;100,0;80,0;80,0;50,0;93,33333333333333;70,0
20;3;7;5;100,0;80,0;100,0;80,0;100,0;80,0;100,0;80,0
21;4;7;1;30,0;60,0;100,0;80,0;100,0;70,0;76,66666666666667;70,0
22;4;7;3;100,0;80,0;100,0;90,0;90,0;80,0;96,66666666666667;83,33333333333333
23;4;7;5;100,0;70,0;100,0;80,0;100,0;90,0;100,0;80,0
24;1;8;1;80,0;80,0;90,0;90,0;100,0;70,0;90,0;80,0
25;1;8;3;100,0;90,0;90,0;90,0;100,0;80,0;96,66666666666667;86,66666666666667
26;1;8;5;100,0;70,0;80,0;90,0;50,0;60,0;76,66666666666667;73,33333333333333
27;2;8;1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
28;2;8;3;100,0;100,0;90,0;90,0;80,0;60,0;90,0;83,33333333333333
29;2;8;5;100,0;90,0;100,0;70,0;100,0;100,0;100,0;86,66666666666667
30;3;8;1;80,0;90,0;90,0;60,0;90,0;80,0;86,66666666666667;76,66666666666667
31;3;8;3;80,0;70,0;100,0;90,0;100,0;90,0;93,33333333333333;83,33333333333333
32;3;8;5;90,0;80,0;90,0;80,0;100,0;100,0;93,33333333333333;86,66666666666667
33;4;8;1;100,0;100,0;100,0;100,0;70,0;70,0;90,0;90,0
34;4;8;3;100,0;90,0;100,0;90,0;100,0;100,0;100,0;93,33333333333333
35;4;8;5;70,0;50,0;100,0;100,0;100,0;90,0;90,0;80,0
36;1;9;1;100,0;80,0;100,0;70,0;100,0;80,0;100,0;76,66666666666667
37;1;9;3;100,0;60,0;100,0;70,0;100,0;70,0;100,0;66,66666666666667
38;1;9;5;100,0;80,0;90,0;30,0;100,0;60,0;96,66666666666667;56,666666666666664
39;2;9;1;100,0;70,0;100,0;70,0;100,0;80,0;100,0;73,33333333333333
40;2;9;3;100,0;80,0;100,0;80,0;100,0;80,0;100,0;80,0
41;2;9;5;100,0;60,0;100,0;20,0;100,0;70,0;100,0;50,0
42;3;9;1;100,0;60,0;90,0;80,0;100,0;70,0;96,66666666666667;70,0
43;3;9;3;100,0;80,0;100,0;80,0;100,0;70,0;100,0;76,66666666666667
44;3;9;5;100,0;50,0;100,0;50,0;90,0;70,0;96,66666666666667;56,666666666666664
45;4;9;1;90,0;70,0;100,0;70,0;90,0;50,0;93,33333333333333;63,333333333333336
46;4;9;3;100,0;70,0;90,0;80,0;100,0;70,0;96,66666666666667;73,33333333333333
47;4;9;5;90,0;60,0;90,0;70,0;100,0;70,0;93,33333333333333;66,66666666666667
